,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
CHIR-98014,0.001334309840003987,0.0028894039848701984,0.0027000249902867546,0.0034129635212965066,0.005465184997869269,0.00329272176903315,0.004450660624368005,0.004841741532932206,0.005345427398696263,0.003834599255259242,0.007649169980652032,0.005518479523348486,0.00855577290087278,0.006844327498387703,0.005773737370347985,0.008860205581385455,0.009480062394569253,0.007827419775378475,0.0034749432669077054,0.006596957478930362,0.014143025235932445,0.011323752723520052,0.011762995960866085,0.008642349194041455,0.014817218302758606
Vatalanib (PTK787) 2HCl,0.0006126125443419891,0.0010795035722034486,0.001865586020678477,0.0023831314753144915,0.002702254733518209,0.0026481073053600396,0.0027527698923732642,0.003352285282804305,0.003534914291719191,0.003308128557480742,0.002019584645113015,0.002571688784713704,0.0030669928358591637,0.002370451161577294,0.0033342580568310985,0.004789720437498991,0.003712188684562505,0.003068466486298001,0.0041550270056874596,0.004542812651001025,0.003794088418549904,0.005139148541102533,0.004215761833003608,0.00479208801675282,0.007424117822590581
WHI-P154,0.002121224888388721,0.0014021611502327562,0.0018424314070040978,0.004118953968015769,0.004038080115108238,0.004387823484001446,0.004484787723739335,0.002810371179577167,0.004407175517439119,0.007308160828467323,0.006912996521338897,0.0056942740475803555,0.003612177891519967,0.0068954779867736685,0.007220745516110301,0.006292619242224888,0.008803814769302034,0.004985101083251969,0.008479693014276321,0.008632328895123796,0.007597172114341221,0.012327032693910446,0.016972510802572578,0.009378725972892098,0.01907017392467939
Foretinib (GSK1363089),0.0021467567371297957,0.0024000992535004296,0.002131263797300556,0.005796470741715955,0.0035796724064912485,0.0032592103948861913,0.008715715294565295,0.0034077000098764404,0.004123664922527299,0.00951080231647884,0.0067485054897451855,0.0026875511344122208,0.008941119785093574,0.009818042499439236,0.00603351340485708,0.008594199063003662,0.01340153138361334,0.008356922665418771,0.006925704813121684,0.012005792149679886,0.011090852641671894,0.008954743216917964,0.011853132027431023,0.006531464197188803,0.014718641648025575
IWR-1-endo,0.001456501093742911,0.0017592334625889327,0.003681996675432936,0.0023485261186907184,0.003521458329850881,0.00561399624178956,0.00552956341118871,0.006184634651803957,0.004693289523552424,0.004426146121030351,0.006287186268894371,0.006129132905020974,0.005303976675904106,0.006316000652284391,0.004926402194642235,0.010047592349343066,0.008062926536205267,0.005657309206727037,0.013416591899178812,0.01024858776684954,0.009415927712152295,0.0059140389411586345,0.009131856539281264,0.008560038879812415,0.019106856710711728
AT9283,0.0018354187659460786,0.0033724710932032335,0.0031770592853074806,0.004434809637362087,0.003890205450318619,0.004498528117370139,0.006682380626054512,0.004504816347245287,0.0062278602179608004,0.0044251276688715225,0.004945494503396541,0.005354060045824719,0.007545791813065939,0.006548438749617897,0.006107529218560074,0.007224736674343567,0.011012096996954653,0.007354978822646673,0.007503064160190011,0.01030819402396695,0.01314122832028937,0.010126161438190054,0.0066870678401295385,0.01164449904300406,0.015355007474993505
BIO,0.0014519552210799193,0.002997279891286484,0.0033507450441039423,0.00329367424774111,0.004033638833796678,0.0037414927739881534,0.006807598417092974,0.0031280617976320794,0.006384838894173809,0.0033786578108231137,0.008404052874829286,0.006144681039045501,0.005206481441412224,0.004197867183370768,0.0063252406202686465,0.006704524247756235,0.009797855253525946,0.004418807803217016,0.009686899888972839,0.012054847486079238,0.006702507629372522,0.010126076162726937,0.00863164733898732,0.007916083921037822,0.011393997079849588
Lenvatinib (E7080),0.0012549732257927542,0.0025343724941171487,0.0026925257680935526,0.004083792099806195,0.006706350808229359,0.004355921937882832,0.004884745218364165,0.005136339488571811,0.006344145253335273,0.007982094429832505,0.006052827066733339,0.004921695384886161,0.006563466989393708,0.008943166499522844,0.007607880132231665,0.009891041489728011,0.006346547618310103,0.006539748972137227,0.009063172448486536,0.005786343621427976,0.009737459874391863,0.009278989809900275,0.009592672109773066,0.010082289698132858,0.01262323711486091
K02288,0.00187212829281566,0.001867923474000397,0.0024134748696793026,0.0038453430918030385,0.004763480363371679,0.0052884953464518054,0.00542729816070842,0.003994535334104624,0.00451927679917166,0.0031970239978915756,0.00527800749335557,0.0038456807696843776,0.009848834303889735,0.006410009842501249,0.007765665056708762,0.00891731478491694,0.010328739335099838,0.007223582090146435,0.007579414540359862,0.013974959133578949,0.01040871885146247,0.013250589214470072,0.012918668543512582,0.01332747727705124,0.01417256262592326
WZ8040,0.0011804269673366336,0.001275558049539522,0.002969412433351208,0.0040055059786280305,0.005273483043664247,0.0032662058699909507,0.005310625776811006,0.003148917724040581,0.005341997328254655,0.004303454132489316,0.008129630341926106,0.004340564275213764,0.005845560843838038,0.00981324301738563,0.011139954014594599,0.008566678636390561,0.009491023867385767,0.0058614730940339576,0.013243238029087619,0.007971409197190239,0.006133160498884028,0.0071854895984921705,0.01015231134363338,0.00850807485572674,0.013567628455297253
Filgotinib (GLPG0634),0.0010182067986750415,0.003105756902030934,0.0032205482963041402,0.003609093164779933,0.005556037829572583,0.004576588251143434,0.005362770419435259,0.003008649913877598,0.00625974216049986,0.0036175914487895835,0.008144129128172237,0.006333272156014526,0.009019876601099956,0.007336926616038897,0.007965339195336079,0.0061580869232508075,0.01243052783042331,0.007857361419566156,0.011620305982634672,0.007166565979672665,0.012741239473124817,0.0071457601189476505,0.014164258488480411,0.007484559892719175,0.012569907637054132
DMSO,0.0004653652115893285,0.0004414091695631853,0.0008550444009090048,0.00043034854049288324,0.0010554006057634476,0.0006314488692550057,0.0011560759700300117,0.0006016290404251467,0.0007671421189259332,0.000950915243203991,0.001729188990301115,0.0012658368638542431,0.0009571612493108773,0.0013678210664253825,0.0016741241171578112,0.0023207339378127074,0.002461375477830831,0.0019409150747506487,0.001960438863766704,0.0017699056006667334,0.0022957128708487834,0.0014473906549038712,0.0016008714276267233,0.001881498141953458,0.004172956989668669
AG-1024,0.001360391181406687,0.0030487811864006076,0.0033166622534918566,0.004680028201803835,0.005832248438851802,0.005099080101546179,0.00434108566511751,0.0039308893057811425,0.005824042967349119,0.004877674575283485,0.004252826289795698,0.0038053196409468023,0.0062581010632589765,0.007729847285403237,0.008768479653750777,0.009347938517409596,0.008205416141714864,0.005024631732780249,0.009155905756557683,0.006888513899637164,0.009062352436176905,0.011588325526519174,0.011535639678986572,0.010695576275839497,0.017443737554615955
GNF-5,0.0014913237902125817,0.002710448947667151,0.00247281195809074,0.0031922339637785375,0.005016634154883982,0.00643659511441139,0.005191173118483045,0.005657294478435725,0.004765061753289906,0.007298866772732436,0.0032467057942866633,0.005956913672329658,0.006271869000577348,0.008488208718340733,0.006304607819644626,0.007299900466267286,0.00978695508672231,0.005782325456257726,0.00555449708867693,0.006303542132633526,0.007550983042856386,0.00677261577667421,0.00674049100675528,0.008038084797881227,0.01115929294735186
BX-912,0.0016230216209582862,0.0032046240334293466,0.0042913028112647736,0.005366883488082773,0.006156991157183114,0.008059077126639582,0.006050015793138597,0.007702656583483885,0.008523593319273545,0.004306401791758431,0.008065548473784713,0.005198226610606737,0.006560059803647831,0.010063280860755728,0.010073304581715185,0.009423628301403902,0.0130168132041793,0.00836206699626029,0.011139526333343404,0.011167102741871566,0.01311803975463326,0.012311181319620768,0.01378971215786966,0.011749964534033683,0.014153160025518495
Aurora A Inhibitor I,0.0009145918192506563,0.0012280932585370039,0.001466665193715804,0.0025585724236879734,0.0025588915899830843,0.0028102933436199348,0.0018743504588937263,0.0021678871521663965,0.0027133543765271544,0.0026413390185708982,0.002651599550805962,0.0031319635114277376,0.003542568360036354,0.0031897506936710974,0.005235914228026757,0.006191384835097538,0.0036084497594612895,0.004762701010823529,0.003551130711363654,0.005180851796873924,0.006275551491087559,0.0036081544798957374,0.004300215236071739,0.004415754709080421,0.007688294264379031
VX-11e,0.00036408940351478333,0.0007640262639001218,0.0009131747438052263,0.0009459482365436465,0.0016709437515455901,0.001198799218919677,0.0024417861912995383,0.001638248396317617,0.0020438769489322904,0.0015055831402443207,0.0029444803716699173,0.0013763910383836014,0.0011951982384431755,0.0016648130298795572,0.002164003578764585,0.0026697800746435804,0.002730025905377431,0.0031505680048335436,0.004076938659724647,0.0017104470444580305,0.003219244945193853,0.004113982038996985,0.004997926595037501,0.002106369349301144,0.004116120472793275
Pimasertib (AS-703026),0.0007615102923237252,0.0012656647224944142,0.0012925846417320733,0.001510827190430658,0.0024566869094867372,0.0020181850799476536,0.0028769156756866796,0.0020661018344366455,0.002917189474019219,0.002912134631317331,0.0044632382629545,0.002281895468785992,0.0026600540274155982,0.00241269580339161,0.004041876178691175,0.0022068952908723526,0.005106806994140572,0.004293225833962152,0.004907551834222445,0.003822865732950227,0.005520806298698029,0.003411412726560288,0.006448470622798406,0.004240664617031226,0.00575755852840614
Quizartinib (AC220),0.002603585028495232,0.001557930643408735,0.003869110474033213,0.00627135968807305,0.005895909084573052,0.006643621441556696,0.006674657404240725,0.005535649366928175,0.009235797924555235,0.008891001132546171,0.0034564243067584334,0.006928330418812953,0.007740126240580529,0.003560434568681534,0.008772771386736926,0.012905277627630912,0.008214679392117601,0.00881391251600268,0.010058860828694779,0.013274283606324272,0.014750921528862192,0.018196401732818706,0.011986651390739485,0.010539380019288162,0.014642074194208186
LJI308,0.0011166166913091024,0.0027929201550418903,0.0014138636158085775,0.0047105357034401595,0.004966227081265949,0.0033697241364848635,0.007356973161360483,0.004164657654407235,0.00736877817038671,0.005988418132576428,0.005656046607066982,0.005432673422728833,0.007366890859300425,0.009307166246621899,0.005778582856279666,0.007592884181912904,0.011716556395340505,0.0067257631761120555,0.005914262103114135,0.008456154564845901,0.009689726371602743,0.014682603635926713,0.01057629241612941,0.008554810914369231,0.01172203966866114
PHT-427,0.001465229716404546,0.0027834351560876306,0.0016919650431442496,0.005061949642274121,0.00840681326985537,0.0047794386285338565,0.005013574949353158,0.0019426888698082416,0.006059147915518267,0.0038715324601349397,0.0071784111939538885,0.004883282438200965,0.004892771539919779,0.007532551436302229,0.007283097972598172,0.005756868199184846,0.008280946802415215,0.011771415142137677,0.008144712244529692,0.009400332919764364,0.00403604039827171,0.009518817800408776,0.013414880054489688,0.010820235880886165,0.011873444264409925
BIRB 796 (Doramapimod),0.0014281206825528794,0.0025735046590394423,0.0020398342553171692,0.0025739031904363436,0.006235324904174202,0.004524873160992683,0.0036406301538275516,0.005394423775944788,0.005998553049558397,0.0041297904152884524,0.004770368426220796,0.0053038663328123835,0.005032788262764667,0.004335127994954422,0.005617798989139515,0.004477809590580063,0.00856233912764194,0.010344004671963565,0.012038524505665029,0.01127097584751166,0.011132820841275556,0.005947704106422074,0.013368974829197092,0.009335062752756343,0.012206679736364454
