,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Oclacitinib,-0.026265683618304773,0.018810465122933624,0.0032803268675339428,-0.015657648869211054,-0.011055189572004773,-0.006886384739409268,0.06367566894046013,-0.008972247142102482,-0.010906310358789816,0.005583425562264091,-0.006117588382422977,-0.003985341837642442,0.08473990719572624,0.01829600796405014,0.04619299613128684,0.07771289019961566,-0.08217296746571039,0.00732056992323942,0.0019934696853770436,0.006163961412182335,-0.09616457405485859,0.020533552718449383,-0.07193720973938597,-0.05989740061687994,0.035667969176731026
Degrasyn (WP1130),-0.03975674980456409,0.026770285497819884,0.04896893419245738,0.0033208640148432492,-0.07124418772176579,0.087148685017009,0.09837805404682395,-0.043974345020114866,-0.009873721689464455,-0.019352182388114418,-0.024066869659643778,-0.01023027578656545,0.053456487268916456,-0.013058164713194213,-0.015994049181263688,0.08160599653482349,-0.11646750319466545,0.019880706380290693,0.014999620494523616,0.05913070591818389,-0.018910019372814887,0.006563291459661694,-0.10275889860705749,0.03706885717539068,-0.027949803469234175
Selumetinib (AZD6244),-0.04566806201982746,0.02289470467324587,0.04028872635871508,0.020342750812357993,-0.019796986172137074,0.06695530319302685,0.12075793599480696,-0.05411388588502487,0.04275933883340157,-0.00015018633650504368,-0.023493823645271777,0.015256353786450997,0.11193587792178723,0.05575180059262652,-0.02892001748993548,0.17419067722960446,-0.022681232575906422,-0.06665554193392448,0.11988878242690768,0.1137604482875106,0.004582691303026942,0.022787462246704644,-0.10432035436996925,-0.05974857244197727,0.0160970580446688
SB216763,-0.019342680730361238,0.046809437932224585,0.03204787040654728,-0.06262768018842205,-0.08885721518023287,0.06982595758117369,0.059629312109464296,0.01882910201397531,-0.05884105928589407,0.013152767671404131,-0.038783504087130216,-0.012157386029115272,0.06531557910728847,-0.07063422216527177,0.09062221672024331,0.010641966976805865,0.018094191998493374,0.021396277043719863,-0.04291916798468556,-0.009672149245576156,-0.15410696415306396,0.019587116011295074,-0.10975601027900776,0.025467409869018753,-0.016516360026718795
Dasatinib,-0.08715624090835039,0.084836275663433,0.07292392610149488,0.01144246635440103,-0.09960217982895847,0.08774522388126192,0.13003261276203706,-0.05521702918502933,0.019782668493551772,0.020829587459530407,0.0035919972461192764,0.004727329882613493,0.07175179252150424,-0.020513238985435337,0.018496497819771727,0.1149462685756403,-0.05778504295575613,-0.004249859054689329,0.04613411144810528,0.06569472009406882,-0.016600185049578855,0.012016423735943166,-0.1285337200980697,-0.06122502773210618,0.01329654068303982
GSK429286A,-0.016506988489983228,0.012379332771615688,0.002981961788467535,0.010074249489816656,0.005622233253394781,-0.013262385990476463,0.050996171059758046,-0.02713670003639363,0.023423517830220293,0.010271772501818233,-0.012769559146897142,-0.0005266571645008023,0.04831779455836985,0.015903343004416114,-0.03781483259831175,0.02689920779991829,-0.0781366142181765,-0.004393242163385998,-0.007206403414476528,0.08423036395727093,0.00780006439922076,0.027457033594126122,-0.04673225895121058,-0.09409183494302967,0.020970446295672306
Pazopanib HCl,-0.03153842230934732,0.04975906402584024,0.033099941446676676,-0.007785538418440434,-0.08716343083102435,0.04913793894529323,0.08982980644222036,-0.01829620368137068,6.099590179801827e-05,0.049445360234993754,0.008134943071306036,0.02049540494026657,0.04779364347368776,-0.011177520487262992,0.04189385892713425,0.11511674958373261,-0.012624331249462073,-0.005499886043994573,0.06222288235834367,0.04289857798464066,-0.0324032358807412,0.013684926080110526,-0.09425258792083555,-0.04123188533100093,-0.017045562606961006
"LDE225 (NVP-LDE225,Erismodegib)",-0.01784970802298786,0.018397125513770055,0.027885213012582538,-0.03549489948234371,-0.05718837453731579,0.04094814218130203,0.022848902962377682,-0.04817849012078824,-0.0237393002706336,0.017766488028982497,-0.02627246396830616,0.0018651481258783568,0.02126469368734734,-0.09738511650045084,0.011417467630922827,0.05272249918116488,-0.10217905354433339,-0.04203184008294194,-0.005291653728898696,0.04503483664771584,-0.034640866602235226,0.02859035119130518,-0.04272708979035189,-0.011532982212060654,-0.056203101243050925
LY2157299,0.014900661079644087,0.026945968828184376,0.0048837808012018435,-0.01628812594754191,-0.05223034179001337,-0.017802352422622295,-0.003017912790507769,-0.04550560140975165,6.569675891624875e-05,0.04923598710508,-0.044134033589056106,0.02032916275708202,0.028324528567585217,-0.10370715313695218,0.0074905340311967146,0.027055547621935273,0.033276567466821914,0.020536769191112456,0.010917255730229392,0.062048604258562755,-0.04153827225371559,0.05254071450045737,-0.024339289103355633,0.005649942798851678,-0.10047135110266459
ZSTK474,-0.01353937986826131,0.04617750508044782,0.03608113859331856,-0.02184429234256998,-0.08584428854975178,0.08121313274544203,0.08627172502987075,-0.011438464218454231,-0.026663253520216944,0.0005004032326953269,-0.00649908981477141,0.010620136475056783,0.042101202263858405,-0.06247788814333588,0.04726901623043177,0.1557171562091266,-0.015413265014233336,0.002389155636062214,0.006818948800735328,0.00919036268249335,-0.029298516028579257,-0.0020107262970687303,-0.09018154351271296,0.007098312568680045,-0.004832901688530724
