Line;Cluster.ID;Label;PValue;OddsRatio;PAdj
D020T01;70;vegfr;0,0262903378704493;6,94699574539558;0,0417019152427817
D020T01;58;vegfr;0,033782333218971;6,14577066552595;0,0501286234862151
D020T01;8;cdk;0,0587254138234968;3,65026434331247;0,0800392735579136
D020T01;91;mek;0,0591594630645448;4,64325582352739;0,0800392735579136
D020T02;58;mtor;7,36162502520165e-05;16,1576826578429;0,00198763875680444
D020T02;78;aurora kinase;0,000252095400069562;14,7507527826244;0,00284290499716886
D020T02;71;mek;0,000315878333018762;13,4898855565926;0,00284290499716886
D020T02;14;cdk;0,00227142039883724;17,4627323561623;0,00876119296694362
D020T02;29;cdk;0,00930117841166277;8,61602051427989;0,0204551485946187
D020T02;59;egfr;0,00984877524926085;12,2381672237564;0,0204551485946187
D020T02;54;mtor;0,0260757221745951;8,14866072052522;0,0414143822772981
D020T02;77;akt;0,0431218484842348;10,1694138526219;0,0627935419440036
D020T02;77;her2;0,0441880480346692;10,0529706746361;0,0627935419440036
D020T02;70;fak;0,04671522622216;9,76042854005044;0,0630655553999159
D020T02;58;pi3k;0,0491369091190816;5,36701932752933;0,0631760260102478
D020T02;58;mek;0,0689599515154076;4,47732241164193;0,0809529865615655
D020T02;57;alk;0,0730188419393531;5,6395267631488;0,0821461971817723
D020T02;77;flt;0,0880298090358639;5,12560539120647;0,0950721937587331
D021T01;110;mtor;2,20276135508523e-07;37,8792044628763;1,21151874529688e-05
D021T01;81;cdk;7,01097183766201e-06;12,5992834481572;0,000192801725535705
D021T01;65;pdgfr;0,000151426597949099;108,68877066826;0,00166569257744009
D021T01;54;pi3k;0,000476011131337224;Inf;0,00247863784364945
D021T01;107;aurora kinase;0,000424249689983143;6,24818085474339;0,00247863784364945
D021T01;88;c-kit;0,0012048092176672;45,6862359381572;0,00389791217480563
D021T01;65;vegfr;0,00166631349810252;39,9076348494517;0,00509151346642436
D021T01;77;alk;0,00244911661253992;22,0166727256865;0,00708954808893135
D021T01;104;bcr-abl;0,0038408392640129;8,62695929188673;0,0100593409295576
D021T01;107;flt;0,0128100655106167;5,36650533586859;0,0277864274854667
D021T01;92;vegfr;0,022647264849326;5,17632418614007;0,044485698811176
D021T01;101;egfr;0,0267091245413167;4,95876429840277;0,0445778621782516
D021T01;107;fgfr;0,0302524394300695;6,77652747449865;0,048937769666289
D021T01;91;mek;0,0589346950240897;4,5861649705603;0,0876056277385117
D022T01;67;cdk;9,08767185247753e-05;21,0830641442302;0,000631889815101342
D022T01;87;mtor;0,000105314969183557;11,888401983185;0,000631889815101342
D022T01;31;mek;5,71501143002286e-05;82,6034116923566;0,000631889815101342
D022T01;76;aurora kinase;0,00154871116673891;7,17331083749435;0,00516237055579637
D022T01;56;egfr;0,0132896185414464;10,3619997235688;0,0362443658406865
D022T01;30;pi3k;0,016563232553946;9,32957408960674;0,0362443658406865
D022T01;75;akt;0,0471059853091679;5,71033124416793;0,0899661135348168
D027T01;29;cdk;5,35152392355127e-05;23,1512534455601;0,000963274306239229
D027T01;3;gsk-3;0,000160782043861342;Inf;0,00144703839475208
D027T01;28;mek;0,000376920581945435;23,3528576799681;0,00226152349167261
D027T01;32;egfr;0,00250784309904714;25,5386035979686;0,0079587111711364
D027T01;33;vegfr;0,0130841728534591;12,305597672429;0,0235515111362263
D027T01;17;egfr;0,0315633586001286;8,87319639709721;0,0516105146242132
D027T01;40;fak;0,0344070097494755;11,6701599482753;0,0516105146242132
D030T01;24;gsk-3;6,74426619348895e-07;Inf;2,49537849159091e-05
D030T01;74;aurora kinase;5,21131526610179e-06;32,4896400169711;9,6409332422883e-05
D030T01;53;cdk;5,51578197149482e-05;28,4844001191108;0,000322973273340196
D030T01;70;mtor;4,99447357327123e-05;29,046824996292;0,000322973273340196
D030T01;26;fak;6,110305171301e-05;216,231613161732;0,000322973273340196
D030T01;58;bcr-abl;0,000787663050460392;22,1552459194201;0,00264941207882132
D030T01;51;plk;0,00121279187080285;36,8500408127551;0,00325836607505758
D030T01;65;mek;0,00456767858640242;10,7519524747051;0,00845020538484448
D030T01;84;egfr;0,0168932384355082;8,62838067957426;0,0284113555506274
D030T01;69;pi3k;0,0261102068172378;7,6301277225111;0,0420033761842521
D030T01;42;mek;0,0291245992908788;6,99027264951644;0,0441756004227138
D030T01;48;mtor;0,0707282913861888;4,52650876199531;0,0969239548625551
D046T01;76;gsk-3;3,37288945658366e-07;Inf;1,51780025546265e-05
D046T01;92;mtor;4,52830863979322e-06;13,3337003873877;6,79246295968984e-05
D046T01;7;mek;0,000393588092171175;Inf;0,00219594100947417
D046T01;80;pkc;0,00110012411108904;49,1405561816805;0,00495055849990067
D046T01;54;cdk;0,00158143482697813;19,2489413442054;0,00646950611036508
D046T01;87;cdk;0,00234955380535278;5,78201242850734;0,00813307086468269
D046T01;79;erk;0,00263839307829534;23,2945300990365;0,00848054918023504
D046T01;15;pi3k;0,00703568626492756;16,2791377832243;0,0175892156623189
D046T01;90;src;0,0105740164218696;12,0141420924338;0,0241836435011329
D046T01;84;c-met;0,0132277640395761;10,8730710149888;0,0258804079035185
D046T01;90;bcr-abl;0,0168200010206427;9,14868272485768;0,0302760018371569
D046T01;81;alk;0,0183931559925021;10,7237055781549;0,0309770707543932
D046T01;91;vegfr;0,0185862424526359;6,21208191725596;0,0309770707543932
D046T01;94;aurora kinase;0,0233176768952667;3,94902980816157;0,0347783537032902
D046T01;78;akt;0,0249585533049861;5,41623510491319;0,0350979655851368
D046T01;89;pi3k;0,0772583865761585;4,06181193021597;0,0965729832201981
